id,name,drugName,categoryId,description,sku,barcode,costPrice,sellingPrice,quantity,unitOfMeasure,lowStockThreshold,expiryDate,status,manufacturer,location,shelf,imagePath,createdAt,updatedAt
1,Panadol Advance,Paracetamol 500mg,2,Pain relief tablets,PAN500,BAR12345,5.00,9.99,15,PCS,10,2024-05-20,near,GSK,,,,2025-04-22T12:05:38.813Z,2025-04-22T12:05:38.813Z
2,Cataflam 500 mg,Diclofenac 500mg,2,Anti-inflammatory medication,CAT500,BAR45678,8.50,15.99,0,PCS,10,2024-06-19,out_of_stock,Novartis,,,,2025-04-22T12:05:38.813Z,2025-04-22T12:05:38.813Z
3,Aspirin,Acetylsalicylic acid 100mg,2,Blood thinner and pain reliever,ASP100,BAR78901,3.00,6.99,0,PCS,5,2024-06-19,out_of_stock,Bayer,,,,2025-04-22T12:05:38.813Z,2025-04-22T12:05:38.813Z
4,Colona,Erythromycin 500mg,1,Antibiotic for bacterial infections,COL500,BAR23456,12.50,22.99,0,PCS,8,2024-07-15,expired,Abbott,,,,2025-04-22T12:05:38.813Z,2025-04-22T12:05:38.813Z
5,Spasmodigestin,Hyoscine 10mg,2,Antispasmodic medication,SPA10,BAR34567,7.20,14.50,20,PCS,5,2025-09-20,active,Pfizer,,,,2025-04-22T12:05:38.813Z,2025-04-22T12:05:38.813Z
6,Gulvas Met 850/1000,Metformin 850mg,3,Antidiabetic medication,GUL850,BAR56789,9.80,18.50,0,PCS,10,2024-06-19,out_of_stock,Merck,,,,2025-04-22T12:05:38.813Z,2025-04-22T12:05:38.813Z
7,Zyrtic,Cetirizine 10mg,2,Antihistamine,ZYR10,BAR67890,6.50,11.99,0,PCS,15,2024-06-19,out_of_stock,UCB,,,,2025-04-22T12:05:38.813Z,2025-04-22T12:05:38.813Z
8,Daflon 500,Diosmin/Hesperidin,5,Venous tonic,DAF500,BAR89012,14.20,24.99,10,PCS,12,2023-06-19,active,Servier,,,,2025-04-22T12:05:38.813Z,2025-04-22T12:05:38.813Z
9,Test Product,Test Drug,1,,TEST123,,10.00,20.00,100,KG,10,,active,,,,,2025-04-28T16:48:34.661Z,2025-04-28T16:48:34.661Z
10,Test Product 2,Test Drug 2,1,,TEST234,,15.00,30.00,50,g,10,,active,,,,,2025-04-28T16:52:47.960Z,2025-04-28T16:52:47.960Z
11,Test Product 3,Test Drug 3,1,,TEST345,,25.5,40.75,75,mg,10,,active,,,,,2025-04-28T17:40:12.341Z,2025-04-28T17:40:12.341Z
